2025-03-27 23:29:34 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 13.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 705.00 W/m2, Internal CO2: 0.30 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:05 - Internal Temperature: 27.00 ¡ÆC, External Temperature: 5.00 ¡ÆC, Internal Humidity: 57.00 %, External Illuminance: 665.00 W/m2, Internal CO2: 1.02 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:21 - Internal Temperature: 27.00 ¡ÆC, External Temperature: 20.00 ¡ÆC, Internal Humidity: 60.00 %, External Illuminance: 666.00 W/m2, Internal CO2: 0.90 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:22 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 18.00 ¡ÆC, Internal Humidity: 60.00 %, External Illuminance: 570.00 W/m2, Internal CO2: 0.58 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:23 - Internal Temperature: 28.00 ¡ÆC, External Temperature: 12.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 650.00 W/m2, Internal CO2: 0.22 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:24 - Internal Temperature: 20.00 ¡ÆC, External Temperature: 18.00 ¡ÆC, Internal Humidity: 50.00 %, External Illuminance: 618.00 W/m2, Internal CO2: 0.34 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:24 - Internal Temperature: 28.00 ¡ÆC, External Temperature: 6.00 ¡ÆC, Internal Humidity: 51.00 %, External Illuminance: 706.00 W/m2, Internal CO2: 0.14 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:25 - Internal Temperature: 24.00 ¡ÆC, External Temperature: 10.00 ¡ÆC, Internal Humidity: 53.00 %, External Illuminance: 642.00 W/m2, Internal CO2: 0.58 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:26 - Internal Temperature: 28.00 ¡ÆC, External Temperature: 6.00 ¡ÆC, Internal Humidity: 60.00 %, External Illuminance: 690.00 W/m2, Internal CO2: 0.70 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:27 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 10.00 ¡ÆC, Internal Humidity: 54.00 %, External Illuminance: 554.00 W/m2, Internal CO2: 1.10 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:28 - Internal Temperature: 24.00 ¡ÆC, External Temperature: 6.00 ¡ÆC, Internal Humidity: 60.00 %, External Illuminance: 602.00 W/m2, Internal CO2: 0.78 %, Internal Oxygen: 4.00 %
2025-03-27 23:33:38 - Internal Temperature: 18.00 ¡ÆC, External Temperature: 0.00 ¡ÆC, Internal Humidity: 51.00 %, External Illuminance: 504.00 W/m2, Internal CO2: 1.02 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:40 - Internal Temperature: 20.00 ¡ÆC, External Temperature: 18.00 ¡ÆC, Internal Humidity: 57.00 %, External Illuminance: 616.00 W/m2, Internal CO2: 0.86 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:40 - Internal Temperature: 26.00 ¡ÆC, External Temperature: 6.00 ¡ÆC, Internal Humidity: 56.00 %, External Illuminance: 536.00 W/m2, Internal CO2: 0.38 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:41 - Internal Temperature: 22.00 ¡ÆC, External Temperature: 14.00 ¡ÆC, Internal Humidity: 56.00 %, External Illuminance: 648.00 W/m2, Internal CO2: 0.10 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:42 - Internal Temperature: 29.00 ¡ÆC, External Temperature: 8.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 680.00 W/m2, Internal CO2: 0.18 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:43 - Internal Temperature: 26.00 ¡ÆC, External Temperature: 10.00 ¡ÆC, Internal Humidity: 58.00 %, External Illuminance: 584.00 W/m2, Internal CO2: 0.66 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:43 - Internal Temperature: 26.00 ¡ÆC, External Temperature: 8.00 ¡ÆC, Internal Humidity: 60.00 %, External Illuminance: 560.00 W/m2, Internal CO2: 1.06 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:49 - Internal Temperature: 28.00 ¡ÆC, External Temperature: 20.00 ¡ÆC, Internal Humidity: 53.00 %, External Illuminance: 700.00 W/m2, Internal CO2: 1.02 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:50 - Internal Temperature: 25.00 ¡ÆC, External Temperature: 14.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 700.00 W/m2, Internal CO2: 0.86 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:50 - Internal Temperature: 19.00 ¡ÆC, External Temperature: 10.00 ¡ÆC, Internal Humidity: 54.00 %, External Illuminance: 596.00 W/m2, Internal CO2: 0.82 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:51 - Internal Temperature: 24.00 ¡ÆC, External Temperature: 18.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 644.00 W/m2, Internal CO2: 0.70 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:52 - Internal Temperature: 26.00 ¡ÆC, External Temperature: 12.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 612.00 W/m2, Internal CO2: 0.34 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:52 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 20.00 ¡ÆC, Internal Humidity: 56.00 %, External Illuminance: 580.00 W/m2, Internal CO2: 0.26 %, Internal Oxygen: 6.00 %
2025-03-27 23:33:57 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 3.00 ¡ÆC, Internal Humidity: 51.00 %, External Illuminance: 561.00 W/m2, Internal CO2: 0.18 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:59 - Internal Temperature: 26.00 ¡ÆC, External Temperature: 1.00 ¡ÆC, Internal Humidity: 56.00 %, External Illuminance: 641.00 W/m2, Internal CO2: 0.50 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:59 - Internal Temperature: 24.00 ¡ÆC, External Temperature: 7.00 ¡ÆC, Internal Humidity: 60.00 %, External Illuminance: 529.00 W/m2, Internal CO2: 0.74 %, Internal Oxygen: 7.00 %
2025-03-27 23:34:01 - Internal Temperature: 27.00 ¡ÆC, External Temperature: 13.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 553.00 W/m2, Internal CO2: 0.90 %, Internal Oxygen: 7.00 %
2025-03-27 23:34:46 - Internal Temperature: 26.00 ¡ÆC, External Temperature: 9.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 689.00 W/m2, Internal CO2: 0.26 %, Internal Oxygen: 5.98 %
2025-03-27 23:34:47 - Internal Temperature: 27.00 ¡ÆC, External Temperature: 13.00 ¡ÆC, Internal Humidity: 54.00 %, External Illuminance: 593.00 W/m2, Internal CO2: 0.30 %, Internal Oxygen: 6.73 %
2025-03-27 23:34:48 - Internal Temperature: 21.00 ¡ÆC, External Temperature: 9.00 ¡ÆC, Internal Humidity: 53.00 %, External Illuminance: 601.00 W/m2, Internal CO2: 0.42 %, Internal Oxygen: 4.72 %
2025-03-27 23:34:49 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 3.00 ¡ÆC, Internal Humidity: 57.00 %, External Illuminance: 585.00 W/m2, Internal CO2: 1.06 %, Internal Oxygen: 5.29 %
